"","INRG.L.Open","INRG.L.High","INRG.L.Low","INRG.L.Close","INRG.L.Volume","INRG.L.Adjusted"
"2016-01-01",383.950012207031,385.511993408203,369.584014892578,372.049987792969,36086,371.482574462891
"2016-01-08",366.5,368.996002197266,344,344.75,145413,344.224212646484
"2016-01-15",334.450012207031,344.507995605469,320.600006103516,331.5,46086,330.994415283203
"2016-01-22",334.799987792969,343.600006103516,333.619995117188,335.399993896484,24845,334.888488769531
"2016-01-29",346,353.299987792969,332.899993896484,341.600006103516,185927,341.079040527344
"2016-02-05",338.399993896484,338.700012207031,312.635986328125,310.600006103516,33050,310.126312255859
"2016-02-12",311.399993896484,337.795989990234,308.079010009766,333.149993896484,48336,332.641876220703
"2016-02-19",331.799987792969,347.936004638672,331.799987792969,346.350006103516,133506,345.821716308594
"2016-02-26",354.600006103516,359.884002685547,348.196014404297,359.100006103516,27953,358.552368164062
"2016-03-04",364,368.200012207031,359.700012207031,359.700012207031,16628,359.151397705078
"2016-03-11",364.799987792969,372.488006591797,364.68798828125,371.149993896484,74766,370.583923339844
"2016-03-18",375.600006103516,378.89599609375,364.864013671875,366.25,369941,365.69140625
"2016-03-25",366.25,376.799987792969,365.299987792969,375.700012207031,126189,375.127044677734
"2016-03-31",374.799987792969,377.247985839844,367.399993896484,367.25,39515,366.689880371094
"2016-04-07",371,384.320007324219,368.540008544922,380.899993896484,50545,380.319061279297
"2016-04-14",379.100006103516,379.384002685547,373.552001953125,379.850006103516,42623,379.270721435547
"2016-04-21",378.600006103516,378.600006103516,364.691986083984,371.25,455525,370.683776855469
"2016-04-28",367.600006103516,369,352.399993896484,351.799987792969,105522,351.263519287109
"2016-05-05",349.299987792969,354.75,342.600006103516,343.049987792969,31289,342.526763916016
"2016-05-12",345.200012207031,347,327.5,328.25,41880,327.791137695312
"2016-05-19",336.600006103516,341,333.619995117188,338.700012207031,397286,338.2265625
"2016-05-26",341.899993896484,353.100006103516,338.31201171875,351.5,173046,351.008666992188
"2016-06-02",351.700012207031,358.743988037109,349.299987792969,355.549987792969,16206,355.053009033203
"2016-06-09",351.299987792969,351.299987792969,336,338.350006103516,84520,337.877105712891
"2016-06-16",337.299987792969,344.631988525391,336.156005859375,344.399993896484,213952,343.918609619141
"2016-06-23",319.399993896484,383.903991699219,319.399993896484,383.799987792969,68644,383.263519287109
"2016-06-30",385,395.936004638672,383.631988525391,394.100006103516,39760,393.549133300781
"2016-07-07",394.100006103516,405.287994384766,394.100006103516,395.899993896484,37729,395.346557617188
