"","IWDP.L.Open","IWDP.L.High","IWDP.L.Low","IWDP.L.Close","IWDP.L.Volume","IWDP.L.Adjusted"
"2016-01-01",1616,1629,1594,1614.5,293523,1609.35412597656
"2016-01-08",1608,1620,1566.5,1574,335731,1568.98376464844
"2016-01-15",1566.5,1601.56994628906,1537,1565.25,567452,1560.26086425781
"2016-01-22",1568,1609.5,1562.03503417969,1582.25,522637,1577.20715332031
"2016-01-29",1590,1619.15002441406,1570,1592,646275,1586.92565917969
"2016-02-05",1604,1604,1490,1501,287278,1496.21557617188
"2016-02-12",1509.5,1587.52294921875,1492,1577.25,502621,1572.34375
"2016-02-19",1590,1657.5,1582,1655.25,818015,1650.10095214844
"2016-02-26",1670,1696.15002441406,1647.74694824219,1675,441721,1669.78955078125
"2016-03-04",1685,1706,1669,1669.75,456161,1664.55603027344
"2016-03-11",1689.5,1745.5,1683.5,1726.5,309045,1721.12951660156
"2016-03-18",1730.5,1756.05004882812,1722,1726,606903,1720.63073730469
"2016-03-25",1726,1764,1723.40002441406,1754.5,180118,1749.04223632812
"2016-03-31",1755,1791.40002441406,1747,1775,421841,1769.47863769531
"2016-04-07",1786,1798.79296875,1767,1786,1370596,1780.44421386719
"2016-04-14",1768.5,1797,1747.19995117188,1758.5,286318,1753.02990722656
"2016-04-21",1736.5,1746.5,1722,1740.25,330858,1734.83666992188
"2016-04-28",1721,1772.77905273438,1710,1759,346020,1753.52844238281
"2016-05-05",1759,1808,1728,1733.5,892887,1728.10778808594
"2016-05-12",1744,1761.5,1666.75,1668.25,919733,1663.22314453125
"2016-05-19",1686,1713.17004394531,1673.39501953125,1699.5,348125,1694.37902832031
"2016-05-26",1704,1739.76000976562,1698.88000488281,1731,505234,1725.78405761719
"2016-06-02",1743.5,1773.96301269531,1734.09997558594,1765.75,1258635,1760.42907714844
"2016-06-09",1762,1785.11999511719,1757.38000488281,1784.5,340748,1779.12255859375
"2016-06-16",1772,1779.93603515625,1733.22998046875,1745.75,606545,1740.48913574219
"2016-06-23",1784,1969.5,1692.30297851562,1953.25,464426,1947.36413574219
"2016-06-30",1967.5,2031,1966.59997558594,2013.75,1389989,2007.68188476562
"2016-07-07",2017,2062,2010.04699707031,2011.75,870820,2005.68737792969
"2016-07-14",1992,2057.5,1984.64001464844,2038,1188182,2031.85913085938
"2016-07-21",2039,2081.78002929688,2012,2063.25,617846,2057.0322265625
"2016-07-28",2056.5,2090.5,2022.33996582031,2061.5,1236251,2055.28784179688
"2016-08-04",2067,2101.26489257812,2058.6650390625,2074.5,1144345,2068.24926757812
"2016-08-11",2067.5,2102,2036.38500976562,2041.5,1766445,2035.49267578125
"2016-08-18",2036.5,2050,2007.46496582031,2037,1690711,2031.00573730469
"2016-08-25",2028.5,2043.43994140625,1978.66003417969,1998.5,534464,1992.61938476562
"2016-09-01",1998.5,2041.02001953125,1975.31298828125,2026.75,896883,2020.78564453125
"2016-09-08",2020.5,2020.5,1938.26000976562,1953.25,550553,1947.50207519531
"2016-09-15",1947.5,2032.5,1947.5,2026.25,354151,2020.28747558594
